No.	Name	Elements
273	触须草龙	龙，翼
324	白萝卜兔	草
323	红萝卜兔	草
281	藤蔓蛋龙	龙，翼
280	蛋蛋龙	龙，翼
279	小蛋蛋龙	龙，翼
278	丰羽嘴龙	龙，翼
277	花嘴龙	龙，翼
276	小花嘴龙	龙，翼
233	翼龙	龙，翼
232	小翼龙	龙，翼
219	空灵兽	草
215	拐杖幽灵	幽灵
214	萤火幽灵	幽灵
213	蘑菇王	幽灵
212	幽暗蘑菇	幽灵
211	小蘑菇	幽灵
239	格斗小七	武
238	格斗小六	武
237	格斗小五	武
141	草衣虫	虫，草
140	小草虫	虫
114	迷迷眼	恶魔，幽灵
125	夜巨魔	幽灵
124	暗夜骷颅	幽灵
92	梦游	幽灵
55	灵雾	幽灵，毒
54	邪雾	幽灵，毒
53	鬼雾	幽灵，毒
400	霹雳领主	电
399	电魂骑士	电
398	电精战士	电
231	独角兽	萌，翼
230	小天马	萌，翼
229	飞羽	萌，翼
228	飞鱼	萌，翼
227	河马小天使	萌，翼
226	小河马	萌，翼
205	果冻	水
195	海豚	水
186	哈古利乌	龙
185	镰刀卡布	石，水
148	雪怪	草，冰
147	小雪人	草，冰
144	黄蜂后	虫，翼
143	小黄蜂	虫，翼
139	暴角龙	石
138	独角龙	石
136	星光狮	电
135	小星光	电
134	大鼠獭	普通，水
133	小鼠獭	普通
132	帝王雪狮	冰，水
131	海巫狮	冰，水
130	雪豹球	冰，水
128	冰封怨灵	冰
127	雪娃娃	冰
119	喷火鸟	火，土
118	呆火鸟	火，土
113	瞌睡王	普通
112	动力猿	普通
111	白发懒人	普通
109	黑当鱼	水，土
108	大尾鱼	水
107	眩目鸡	火，武
106	晕晕鸡	火，武
105	可立鸡	火
104	卡瓦重	草
103	卡卡虫	草
102	丢丢	草
101	罗隐	石，恶魔
100	阿米樱	石，土
99	阿米亚特	石，土
97	獠牙猪	冰，土
96	呼呼猪	冰，土
91	格兰球	草，翼
90	格兰花	草，翼
89	格兰种子	草，翼
88	粉咩咩	电
87	电咩咩	电
82	利灯鱼	水，电
81	双灯鱼	水，电
72	奇丽花	草
71	奇丽叶	草
70	奇丽草	草
69	迷你利乌	龙
67	刺蜗贝	石，水
66	蜗石贝	石，水
59	大蒲公英	草，萌
58	蒲公英	草，萌
57	霹雳球	电
56	闪电球	电
51	电网怪	电，机械
50	电圈怪	电，机械
49	布莱克岩	石，土
48	布莱石	石，土
47	小布石	石，土
46	琉璃水母	水，毒
45	翡翠水母	水，毒
41	音速犬	火
40	护主犬	火
37	扁嘴蝠	毒，翼
36	超音蝠	毒，翼
35	古路尼	毒，土
34	路路尼	毒
33	路路	毒
32	古啦多	毒，土
31	多啦多	毒
30	多多	毒
29	遁鼠	土
28	地鼠	土
27	咔咔鸟	普通，翼
26	咔咔雀	普通，翼
25	咔咔羽毛	普通，翼
24	紫雾虫	虫，毒
23	独角虫	虫，毒
22	卷尾虫	虫，毒
21	化蝶	虫，翼
20	爬爬	虫
19	毛毛	虫
18	水泡壳	水
17	咔咔壳	水
16	板板壳	水
15	烈火飞龙	火，翼
14	烈焰龙	火
13	火苗龙	火
12	蹦蹦花	草，毒
11	蹦蹦草	草，毒
10	蹦蹦种子	草，毒
9	水灵	水
8	波波拉	水
7	水蓝蓝	水
6	火神	火，翼
5	焰火	火
4	火花	火
3	魔力猫	草
2	喵呜	草
1	喵喵	草
